DATE,revenue,search_S,meta_S,tiktok_S,youtube_S,display_S,competitor_sales,events,newsletter
2022-01-03,563541.65,19363.5,60328.13,15887.28,23547.64,18878.97,83857.64,0,1094.76
2022-01-10,654926.63,33767.86,65697.18,48692.69,23547.64,15854.49,73472.69,0,1094.76
2022-01-17,633900.65,28299.85,34258.25,44259.3,18876.04,10035.98,83847.19,0,0.0
2022-01-24,623459.2,24966.46,63692.98,39359.1,18876.04,11913.92,66525.15,0,2623.89
2022-01-31,619842.17,13900.47,42066.99,29313.35,6100.5,8631.95,88233.25,0,2623.89
2022-02-07,565807.66,13899.86,57938.35,21065.3,6100.5,23169.01,83926.6,0,0.0
2022-02-14,578153.68,11452.09,58011.78,20475.3,26400.49,16667.84,82629.4,0,0.0
2022-02-21,569714.49,31654.4,52146.48,23758.5,26400.49,13017.03,89161.2,0,0.0
2022-02-28,553846.73,25027.88,25417.39,34222.93,20350.32,14240.12,95614.68,0,2018.35
2022-03-07,588802.09,27701.81,70118.15,40010.86,20350.32,23945.67,91655.28,0,5462.83
2022-03-14,536785.41,10514.61,39246.8,38106.91,0.0,8067.03,70302.79,0,4684.82
2022-03-21,536769.03,34247.75,31191.11,24797.69,18422.37,16724.6,76500.93,0,1240.34
2022-03-28,557042.6,30811.07,22446.51,48420.28,18422.37,15117.77,83640.16,0,2642.78
2022-04-04,546643.45,15308.48,55453.58,40826.39,0.0,17229.08,90914.26,0,2642.78
2022-04-11,537802.62,14545.62,60653.86,34402.39,13077.3,5362.2,97049.17,0,0.0
2022-04-18,537736.35,14585.11,20995.27,36410.23,13077.3,22442.48,89407.74,0,2930.73
2022-04-25,543056.02,17606.06,50725.58,29686.0,0.0,23642.37,99083.4,0,2930.73
2022-05-02,483221.99,23118.91,33589.75,23670.58,0.0,16302.66,93956.94,0,3194.77
2022-05-09,530514.63,20798.63,58710.37,27459.04,11343.44,18933.02,97518.59,0,4439.66
2022-05-16,527364.8,17280.73,30461.99,41524.61,26168.36,23449.99,93533.02,0,1244.89
2022-05-23,502748.92,25296.32,61456.26,15503.77,14824.92,19144.77,99706.23,0,1741.31
2022-05-30,478905.63,13487.35,43204.12,19062.54,0.0,8050.78,98480.99,0,1741.31
2022-06-06,481057.42,17303.62,76203.8,16610.09,22807.77,16525.77,103554.31,0,0.0
2022-06-13,463906.98,19159.05,28251.26,16425.51,22807.77,17134.3,121691.59,0,1657.64
2022-06-20,499731.83,21401.75,40463.98,44941.12,28675.14,13482.61,107375.02,0,5585.24
2022-06-27,511612.19,29629.4,26808.41,39628.03,48628.4,19728.88,137518.73,0,5938.28
2022-07-04,523555.21,14991.84,75481.62,31596.08,27560.87,23687.34,121655.66,0,3557.04
2022-07-11,524980.91,22855.86,72640.36,18424.2,28720.8,23511.37,120179.01,0,1546.35
2022-07-18,565870.22,24810.36,35476.5,32206.56,21113.2,14016.79,112551.97,0,2976.12
2022-07-25,530942.21,11161.26,59599.04,31571.51,27363.18,7264.76,125456.66,0,5470.71
2022-08-01,551513.16,25188.62,69033.33,21062.07,27363.18,24696.82,115394.9,0,5160.68
2022-08-08,514422.56,14263.1,53312.05,30184.81,0.0,21777.96,120830.26,0,5823.7
2022-08-15,505265.07,11626.29,51779.03,28947.67,0.0,7493.25,139899.51,0,3157.61
2022-08-22,525402.09,33722.14,34511.14,36554.75,15892.47,23416.84,117931.85,0,3989.0
2022-08-29,569563.35,34140.8,25586.17,37228.28,40269.99,22397.93,126903.31,0,3989.0
2022-09-05,573755.07,30209.93,73832.95,16585.64,24377.52,15376.76,110834.27,0,2950.98
2022-09-12,548179.94,17615.34,74025.08,28111.44,0.0,16825.51,114690.31,0,2950.98
2022-09-19,603186.35,12441.8,57986.09,36905.1,34595.46,12980.05,127428.86,0,3040.68
2022-09-26,599790.96,27105.83,40341.79,32609.77,34595.46,6095.23,106345.56,0,4257.28
2022-10-03,585452.02,21003.81,40952.57,44977.14,0.0,11703.94,123794.05,0,1216.6
2022-10-10,564334.87,13050.96,63557.34,38054.28,0.0,21057.07,112754.11,0,1773.05
2022-10-17,633233.38,22379.42,73826.62,20702.7,0.0,5092.64,100286.58,0,1773.05
2022-10-24,568144.44,10859.71,73225.19,17469.91,0.0,11669.98,107470.0,0,3604.82
2022-10-31,624256.7,32733.01,66792.53,37484.67,9820.44,12963.37,107780.44,0,6786.32
2022-11-07,633508.71,16469.5,58521.9,15927.9,9820.44,15747.91,102563.75,0,6409.63
2022-11-14,642101.69,26563.06,25048.4,35502.15,0.0,23397.11,82651.89,0,3228.12
2022-11-21,662797.21,17792.78,29697.72,47908.06,10201.21,11926.92,87090.8,1,2037.8
2022-11-28,657772.6,23001.7,73913.25,35141.6,42104.17,11939.06,88725.39,0,4150.92
2022-12-05,655662.56,23667.76,56385.74,28585.95,39309.98,19750.02,88043.24,0,6076.06
2022-12-12,615417.28,14621.36,20551.82,37515.09,7407.01,14044.36,91702.92,0,5083.28
2022-12-19,648500.17,34239.62,26088.29,31038.85,0.0,9492.1,86451.39,1,4721.42
2022-12-26,656139.23,29378.32,59810.11,34096.59,34471.36,14048.79,72857.57,0,3601.09
2023-01-02,646403.86,33487.47,20303.7,47951.27,34471.36,7817.14,85332.46,0,0.0
2023-01-09,633463.23,32370.68,29648.48,28513.59,16935.67,8527.74,86184.36,0,0.0
2023-01-16,657841.68,24947.5,52924.03,48641.67,16935.67,14967.36,85059.49,0,0.0
2023-01-23,672086.23,33046.86,61513.71,46687.27,0.0,13378.51,88792.07,0,3620.27
2023-01-30,605769.4,12212.31,59117.68,21852.69,0.0,23296.92,86671.38,0,3620.27
2023-02-06,594025.63,14899.57,33456.16,17427.65,12737.08,12247.88,83819.26,0,2265.16
2023-02-13,586345.37,11130.68,62730.75,18527.23,22863.71,16611.77,80019.84,0,4095.65
2023-02-20,571127.67,18133.26,34234.95,15637.76,35185.92,17645.29,68011.99,0,4607.53
2023-02-27,581334.38,19716.93,39523.98,18305.5,57940.58,5261.89,85727.83,0,6514.14
2023-03-06,629149.99,16783.73,64789.48,38905.24,32881.28,18270.75,85201.82,0,3737.09
2023-03-13,598965.94,30718.44,58977.97,17491.6,0.0,8560.72,87202.42,0,2868.9
2023-03-20,559652.4,18918.83,70953.4,26164.15,0.0,24221.41,76523.56,0,5763.58
2023-03-27,562045.88,17023.36,59456.77,44570.64,0.0,7973.25,79990.25,0,6094.02
2023-04-03,566346.83,23567.4,54098.52,15814.52,0.0,13292.48,99130.76,0,3199.34
2023-04-10,520039.7,13523.11,25620.49,43506.4,0.0,6706.99,92591.46,0,3147.47
2023-04-17,550636.55,30054.92,42062.95,24864.92,0.0,24937.49,100665.69,0,6874.57
